kWhDelivered,effective_charging_duration_min,post_charge_duration_min,total_session_duration_min,kWh_per_min_total_session,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,disconnectTime_year,disconnectTime_month,disconnectTime_day,disconnectTime_hour,disconnectTime_min,disconnectTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
16.0,230.65,102.93333333333334,333.5833333333333,0.04796402697976518,0.06936917407327119,2018,4,26,21,18,45,2018,4,27,2,52,20,2018,4,27,1,9,24
0.852,27.3,15.15,42.45,0.020070671378091872,0.031208791208791206,2018,4,26,23,4,49,2018,4,26,23,47,16,2018,4,26,23,32,7
1.829,33.28333333333333,0.06666666666666667,33.35,0.05484257871064467,0.05495242864296445,2018,4,27,1,17,43,2018,4,27,1,51,4,2018,4,27,1,51,0
13.927,980.2333333333333,0.8666666666666667,981.1,0.014195290999898073,0.014207841670350597,2018,4,27,1,22,57,2018,4,27,17,44,3,2018,4,27,17,43,11
13.872,132.4,0.13333333333333333,132.53333333333333,0.10466800804828974,0.10477341389728097,2018,4,27,1,40,52,2018,4,27,3,53,24,2018,4,27,3,53,16
5.654,56.46666666666667,55.78333333333333,112.25,0.05036971046770601,0.10012987012987012,2018,4,27,1,50,34,2018,4,27,3,42,49,2018,4,27,2,47,2
2.558,79.31666666666666,23.533333333333335,102.85,0.024871171609139524,0.03225047278840092,2018,4,27,2,4,43,2018,4,27,3,47,34,2018,4,27,3,24,2
6.417,119.56666666666666,699.5,819.0666666666667,0.007834527104020836,0.05366880401449679,2018,4,27,3,10,5,2018,4,27,16,49,9,2018,4,27,5,9,39
5.56,49.11666666666667,0.08333333333333333,49.2,0.1130081300813008,0.11319986426874787,2018,4,27,3,29,59,2018,4,27,4,19,11,2018,4,27,4,19,6
0.546,19.5,268.8833333333333,288.3833333333333,0.0018933132982719761,0.028,2018,4,27,5,6,13,2018,4,27,9,54,36,2018,4,27,5,25,43
11.323,713.6833333333333,0.38333333333333336,714.0666666666667,0.015857062832601996,0.01586557997244343,2018,4,27,13,16,28,2018,4,28,1,10,32,2018,4,28,1,10,9
3.981,69.66666666666667,0.08333333333333333,69.75,0.0570752688172043,0.057143540669856455,2018,4,27,14,14,39,2018,4,27,15,24,24,2018,4,27,15,24,19
17.634,234.26666666666668,176.68333333333334,410.95,0.04291032972381068,0.07527319294251565,2018,4,27,14,41,42,2018,4,27,21,32,39,2018,4,27,18,35,58
7.288,526.9666666666667,0.06666666666666667,527.0333333333333,0.013828347353108596,0.01383009678031501,2018,4,27,15,0,26,2018,4,27,23,47,28,2018,4,27,23,47,24
6.236,118.73333333333333,405.75,524.4833333333333,0.0118897963074772,0.052521055586749014,2018,4,27,15,9,6,2018,4,27,23,53,35,2018,4,27,17,7,50
9.3,86.28333333333333,474.93333333333334,561.2166666666667,0.016571140082558725,0.10778443113772457,2018,4,27,15,9,39,2018,4,28,0,30,52,2018,4,27,16,35,56
2.945,58.0,446.35,504.35,0.005839198968969961,0.05077586206896551,2018,4,27,15,14,35,2018,4,27,23,38,56,2018,4,27,16,12,35
4.85,116.18333333333334,127.75,243.93333333333334,0.0198824815523367,0.04174436953091378,2018,4,27,15,15,12,2018,4,27,19,19,8,2018,4,27,17,11,23
10.978,295.28333333333336,99.8,395.0833333333333,0.027786542923433875,0.037177851780775525,2018,4,27,15,16,3,2018,4,27,21,51,8,2018,4,27,20,11,20
3.846,69.08333333333333,16.3,85.38333333333334,0.045043919578372046,0.055671893848009656,2018,4,27,15,19,27,2018,4,27,16,44,50,2018,4,27,16,28,32
19.124,258.03333333333336,379.5,637.5333333333333,0.029996862909128934,0.07411445549670584,2018,4,27,15,27,27,2018,4,28,2,4,59,2018,4,27,19,45,29
3.259,67.95,432.4,500.35,0.006513440591585889,0.04796173657100809,2018,4,27,15,31,38,2018,4,27,23,51,59,2018,4,27,16,39,35
13.972,293.3,6.116666666666666,299.4166666666667,0.04666406902310047,0.04763723150357995,2018,4,27,15,42,36,2018,4,27,20,42,1,2018,4,27,20,35,54
16.95,307.15,56.2,363.35,0.04664923627356543,0.05518476314504314,2018,4,27,16,19,1,2018,4,27,22,22,22,2018,4,27,21,26,10
6.444,174.76666666666668,0.06666666666666667,174.83333333333334,0.03685795996186844,0.03687201983597177,2018,4,27,16,25,9,2018,4,27,19,19,59,2018,4,27,19,19,55
9.064,118.73333333333333,423.25,541.9833333333333,0.01672376149328085,0.0763391353172375,2018,4,27,16,27,57,2018,4,28,1,29,56,2018,4,27,18,26,41
9.67,177.45,21.3,198.75,0.048654088050314466,0.054494223724992956,2018,4,27,16,28,35,2018,4,27,19,47,20,2018,4,27,19,26,2
30.553,318.93333333333334,163.95,482.8833333333333,0.06327201187312326,0.09579744983277592,2018,4,27,16,37,18,2018,4,28,0,40,11,2018,4,27,21,56,14
2.485,87.66666666666667,150.75,238.41666666666666,0.010422929045788187,0.028346007604562736,2018,4,27,16,38,52,2018,4,27,20,37,17,2018,4,27,18,6,32
2.219,67.95,528.3166666666667,596.2666666666667,0.003721489266547406,0.03265636497424577,2018,4,27,16,43,29,2018,4,28,2,39,45,2018,4,27,17,51,26
5.606,84.38333333333334,0.15,84.53333333333333,0.06631703470031546,0.06643492000790045,2018,4,27,16,47,18,2018,4,27,18,11,50,2018,4,27,18,11,41
5.805,135.55,283.8333333333333,419.3833333333333,0.0138417517784048,0.04282552563629657,2018,4,27,16,51,19,2018,4,27,23,50,42,2018,4,27,19,6,52
11.729,282.05,36.35,318.4,0.036837311557788945,0.04158482538556993,2018,4,27,16,56,15,2018,4,27,22,14,39,2018,4,27,21,38,18
11.831,142.05,407.21666666666664,549.2666666666667,0.021539628595703363,0.08328757479760647,2018,4,27,17,3,53,2018,4,28,2,13,9,2018,4,27,19,25,56
15.894,190.15,251.51666666666668,441.6666666666667,0.03598641509433962,0.08358664212463844,2018,4,27,17,10,25,2018,4,28,0,32,5,2018,4,27,20,20,34
9.823,235.8,115.08333333333333,350.8833333333333,0.02799506008644849,0.04165818490245971,2018,4,27,17,19,2,2018,4,27,23,9,55,2018,4,27,21,14,50
1.832,45.06666666666667,95.93333333333334,141.0,0.01299290780141844,0.0406508875739645,2018,4,27,17,26,41,2018,4,27,19,47,41,2018,4,27,18,11,45
21.669,264.8,200.26666666666668,465.06666666666666,0.046593319954128444,0.08183157099697885,2018,4,27,17,32,30,2018,4,28,1,17,34,2018,4,27,21,57,18
1.759,372.78333333333336,-1.0,371.78333333333336,0.0047312502801811086,0.004718558590781061,2018,4,27,18,17,36,2018,4,28,0,29,23,2018,4,28,0,30,23
2.531,338.7,246.85,585.55,0.004322431901630946,0.007472689695896074,2018,4,27,18,18,21,2018,4,28,4,3,54,2018,4,27,23,57,3
2.848,93.96666666666667,214.95,308.9166666666667,0.00921931480981926,0.030308620078041856,2018,4,27,18,32,36,2018,4,27,23,41,31,2018,4,27,20,6,34
13.871,151.61666666666667,104.7,256.31666666666666,0.054116652578191045,0.09148730350665055,2018,4,27,19,59,49,2018,4,28,0,16,8,2018,4,27,22,31,26
6.523,125.43333333333334,6.316666666666666,131.75,0.04951043643263757,0.05200372043582248,2018,4,27,20,15,40,2018,4,27,22,27,25,2018,4,27,22,21,6
1.158,34.733333333333334,236.11666666666667,270.85,0.004275429204356655,0.03333973128598848,2018,4,27,20,29,42,2018,4,28,1,0,33,2018,4,27,21,4,26
11.337,135.08333333333334,0.08333333333333333,135.16666666666666,0.08387422934648582,0.08392597162245527,2018,4,27,21,25,0,2018,4,27,23,40,10,2018,4,27,23,40,5
10.577,95.11666666666666,11.633333333333333,106.75,0.09908196721311475,0.11120028035745576,2018,4,27,22,46,32,2018,4,28,0,33,17,2018,4,28,0,21,39
12.49,255.51666666666668,0.03333333333333333,255.55,0.048874975542946585,0.04888135151001239,2018,4,28,0,14,16,2018,4,28,4,29,49,2018,4,28,4,29,47
15.432,270.8,793.1,1063.9,0.014505122661904313,0.05698670605612999,2018,4,28,0,26,33,2018,4,28,18,10,27,2018,4,28,4,57,21
13.31,130.0,0.05,130.05,0.10234525182622067,0.1023846153846154,2018,4,28,0,34,19,2018,4,28,2,44,22,2018,4,28,2,44,19
4.254,82.6,42.516666666666666,125.11666666666666,0.03400026641800986,0.05150121065375302,2018,4,28,0,54,21,2018,4,28,2,59,28,2018,4,28,2,16,57
13.191,168.91666666666666,1.85,170.76666666666668,0.07724575444075736,0.07809176122348299,2018,4,28,1,31,6,2018,4,28,4,21,52,2018,4,28,4,20,1
14.102,260.93333333333334,-0.85,260.0833333333333,0.05422108298622237,0.05404445579969341,2018,4,28,1,39,36,2018,4,28,5,59,41,2018,4,28,6,0,32
4.002,75.18333333333334,0.08333333333333333,75.26666666666667,0.053170947741364036,0.05322988250942141,2018,4,28,1,45,55,2018,4,28,3,1,11,2018,4,28,3,1,6
14.268,989.5333333333333,6.166666666666667,995.7,0.014329617354624888,0.014418918008488851,2018,4,28,2,1,9,2018,4,28,18,36,51,2018,4,28,18,30,41
4.229,84.2,0.5333333333333333,84.73333333333333,0.04990952006294257,0.05022565320665083,2018,4,28,3,15,17,2018,4,28,4,40,1,2018,4,28,4,39,29
