kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
4.56,0.04355994268428594,2018,5,1,15,40,44,2018,5,1,17,25,25
3.562,0.03499590633699034,2018,5,1,15,41,8,2018,5,1,17,22,55
3.371,0.03202850356294537,2018,5,1,15,41,44,2018,5,1,17,26,59
8.657,0.04826874825759688,2018,5,1,16,0,33,2018,5,1,18,59,54
3.058,0.046806122448979595,2018,5,1,16,2,22,2018,5,1,17,7,42
24.716,0.05486754476838834,2018,5,1,16,9,3,2018,5,1,23,39,31
21.525,0.05056179775280899,2018,5,1,16,10,59,2018,5,1,23,16,42
2.597,0.027805139186295503,2018,5,1,16,18,17,2018,5,1,17,51,41
28.691,0.058887558581055655,2018,5,1,16,18,54,2018,5,2,0,26,7
7.899,0.049930467762326174,2018,5,1,16,20,24,2018,5,1,18,58,36
6.91,0.03895518180964014,2018,5,1,16,25,35,2018,5,1,19,22,58
10.386,0.042717301891966,2018,5,1,16,36,38,2018,5,1,20,39,46
7.799,0.05643270622286542,2018,5,1,16,52,54,2018,5,1,19,11,6
11.304,0.0271817890349471,2018,5,1,16,58,54,2018,5,1,23,54,46
1.943,0.01999656946826758,2018,5,1,17,9,9,2018,5,1,18,46,19
7.053,0.039527367831122734,2018,5,1,17,11,32,2018,5,1,20,9,58
10.43,0.0279375,2018,5,1,17,28,59,2018,5,1,23,42,19
12.588,0.0907352234502643,2018,5,1,17,47,29,2018,5,1,20,6,13
12.411,0.04140910860256909,2018,5,1,17,51,44,2018,5,1,22,51,27
2.162,0.021462607544672403,2018,5,1,18,1,21,2018,5,1,19,42,5
9.742,0.04680653427290199,2018,5,1,18,17,12,2018,5,1,21,45,20
9.951,0.05324237560192616,2018,5,1,19,33,50,2018,5,1,22,40,44
6.671,0.04791237730428538,2018,5,1,19,41,1,2018,5,1,22,0,15
2.616,0.006468576138471049,2018,5,1,20,7,55,2018,5,2,2,52,20
6.494,0.05105345911949685,2018,5,1,20,12,26,2018,5,1,22,19,38
1.374,0.04434642280796127,2018,5,1,20,27,35,2018,5,1,20,58,34
6.661,0.047863473053892214,2018,5,1,23,12,11,2018,5,2,1,31,21
2.406,0.04420085731781997,2018,5,2,0,6,47,2018,5,2,1,1,13
1.117,0.06923553719008264,2018,5,2,0,42,36,2018,5,2,0,58,44
13.95,0.022015308135405982,2018,5,2,1,46,0,2018,5,2,12,19,39
6.685,0.09920850853326736,2018,5,2,1,49,8,2018,5,2,2,56,31
16.344,0.057817345675372916,2018,5,2,1,57,30,2018,5,2,6,40,11
4.662,0.10535593220338983,2018,5,2,2,2,40,2018,5,2,2,46,55
13.869,0.0677693623259223,2018,5,2,2,21,35,2018,5,2,5,46,14
16.084,0.021537706161983618,2018,5,2,2,43,8,2018,5,2,15,9,55
2.563,0.03193769470404985,2018,5,2,2,51,35,2018,5,2,4,11,50
6.457,0.052431993503857084,2018,5,2,3,5,26,2018,5,2,5,8,35
10.205,0.04230636357355075,2018,5,2,3,12,17,2018,5,2,7,13,30
7.9,0.11391492429704399,2018,5,2,4,6,37,2018,5,2,5,15,58
13.828,0.02526969816952456,2018,5,2,4,56,29,2018,5,2,14,3,42
4.053,0.05736730360934182,2018,5,2,13,25,56,2018,5,2,14,36,35
3.216,0.10204124801692227,2018,5,2,13,57,22,2018,5,2,14,28,53
11.507,0.05060988124908371,2018,5,2,14,21,46,2018,5,2,18,9,8
13.985,0.022822095901215766,2018,5,2,14,36,15,2018,5,3,0,49,2
10.541,0.045605710989327954,2018,5,2,14,36,28,2018,5,2,18,27,36
9.289,0.018467196819085485,2018,5,2,14,46,19,2018,5,2,23,9,19
7.312,0.013467996930161168,2018,5,2,14,59,42,2018,5,3,0,2,37
2.713,0.04025222551928783,2018,5,2,15,0,55,2018,5,2,16,8,19
11.865,0.046308462889481566,2018,5,2,15,14,6,2018,5,2,19,30,19
11.489,0.06440624124077363,2018,5,2,15,15,17,2018,5,2,18,13,40
13.91,0.029029565217391303,2018,5,2,15,16,0,2018,5,2,23,15,10
19.163,0.03946116621477846,2018,5,2,15,17,10,2018,5,2,23,22,47
